TPM_SelfTestFull	0	1.413274893 0.00614742508588051		0.149907043 0.0209724760344308

TPM_TakeOwnership	1	11.18544105134 0.100219538810997	1.15695998143 0.409552642154371

TPM_Extend		2	0.503043536 0.00841353107211364		0.0004959447 5.04946961202115e-05

TPM_CreateWrapKey   	3	4.14583890894 0.120189425682301		1.04503342098 0.552892596522804

TPM_Sign		4	2.69886515319 0.0889296180188709	0.03794694248 0.00583620775207057

